id,name,met_values,supports_rep,supports_hour,category,created_at
641ac604-40d6-4ba7-b590-7fe843b3e7db,"Bicycling, mountain, uphill, vigorous",14.0,False,True,{cardio},2025-10-05T19:08:24
5b8612e2-145a-4ff3-a103-c64ca0854764,"Bicycling, mountain, competitive racing",16.0,False,True,{cardio},2025-10-05T19:08:24
1cafd2df-49b5-4278-8d2d-0809eca6add2,"Bicycling, BMX",8.5,False,True,{cardio},2025-10-05T19:08:24
5e03272f-1f0b-44ee-97b4-f97adc4a9ec6,"Bicycling, mountain, general",8.5,False,True,{cardio},2025-10-05T19:08:24
1e59da97-d4aa-4b8c-853f-45a02d8d8d19,"Bicycling, <10mph, leisure, toworkorforpleasure(TaylorCode115)",4.0,False,True,{cardio},2025-10-05T19:08:24
714bfd49-b713-4c49-8d1d-80d0b2bc38b4,"Bicycling, to/fromwork, selfselectedpace",6.8,False,True,{cardio},2025-10-05T19:08:24
23160147-f611-4e40-8ea9-1c73939e911b,"Bicycling, ondirtorfarmroad, moderate pace",5.8,False,True,{cardio},2025-10-05T19:08:24
c92217cf-a3d9-4134-96a8-cb7ddddf681f,"Bicycling, general",7.0,False,True,{cardio},2025-10-05T19:08:24
85c3e554-986e-400b-8a61-e3bb3bd06956,"Bicycling, self-selected easy pace",4.3,False,True,{cardio},2025-10-05T19:08:24
4f951736-2ef4-4de5-94bb-eb86e4ca2099,"Bicycling, self-selected moderate pace",7.0,False,True,{cardio},2025-10-05T19:08:24
b4365736-1604-4f4c-9d24-448970078140,"Bicycling, self-selected vigorous pace",9.0,False,True,{cardio},2025-10-05T19:08:24
37f9583d-0758-4580-b4e4-bf2edc118e94,"Bicycling, leisure5.5mph",3.5,False,True,{cardio},2025-10-05T19:08:24
66b83e41-b3e9-420e-86bf-b82315887dd5,"Bicycling, leisure, 9.4mph",5.8,False,True,{cardio},2025-10-05T19:08:24
af3bd113-bc33-475c-b926-13b4fcb46b09,"Bicycling, 10-11.9mph, leisure, slow, lighteffort",6.8,False,True,{cardio},2025-10-05T19:08:24
8be02f58-237f-4958-91f4-f7b48955039f,"Bicycling, 12-13.9mph, leisure, moderateeffort",8.0,False,True,{cardio},2025-10-05T19:08:24
b55f58e8-37cb-480d-9ac9-8204ede4c183,"Bicycling, 14-15.9mph, racingorleisure, fast, vigorouseffort",10.0,False,True,{cardio},2025-10-05T19:08:24
72fa4d0f-8e9c-4d33-b71a-bf0022fa1f9b,"Bicycling, 16-19mph, racing/notdraftingor>19mphdrafting, veryfast, racinggeneral",12.0,False,True,{cardio},2025-10-05T19:08:24
a84c709a-cd60-4669-8921-da9d90469d5f,"Bicycling, >20mph, racing, notdrafting",16.8,False,True,{cardio},2025-10-05T19:08:24
6a1368e4-bf58-481b-adfb-f9307fe63645,"Bicycling, 12mph, seated, handsonbrakehoodsorbardrops, 80rpm",8.5,False,True,{cardio},2025-10-05T19:08:24
7caa53f6-8d41-4128-b63f-1f4210027d96,"Bicycling, 12mph, standing, handsonbrakehoods, 60rpm",9.0,False,True,{cardio},2025-10-05T19:08:24
39d2eca8-1651-47b8-bea5-1c07a1988922,Unicycling,5.0,False,True,{cardio},2025-10-05T19:08:24
05a86166-5b45-41bb-9e88-8e6c97edb20d,E-bike(electricallyassisted)withoutelectronicsupport,6.8,False,True,{cardio},2025-10-05T19:08:24
1501ccf4-b509-41ad-80e6-383d1be5ae61,E-bike(electricallyassisted)withlightelectronicsupport,6.0,False,True,{cardio},2025-10-05T19:08:24
5afbf3b8-5242-4173-9565-8b062779641b,E-bike(electricallyassisted)withhighelectronicsupport,4.0,False,True,{cardio},2025-10-05T19:08:24
b4d63d6a-f681-42c6-8243-47955d7c1f00,"Bicycling, stationary, general",6.8,False,True,{cardio},2025-10-05T19:08:24
0c12a1b8-8a6b-495d-9afd-d131571e4eb3,"Bicycling, stationary, 25-30watts, verylighttolighteffort",3.5,False,True,{cardio},2025-10-05T19:08:24
efff945e-39bf-4279-acb8-15e88954a1d5,"Bicycling, stationary, 50watts, lighteffort",4.0,False,True,{cardio},2025-10-05T19:08:24
a47bea28-bcc2-44ca-b445-cde5dccf19fe,"Bicycling, stationary, 60watts, lighttomoderateeffort",5.0,False,True,{cardio},2025-10-05T19:08:24
f459bf60-6e4d-4278-853c-c82fe724f872,"Bicycling, stationary, 70-80watts",5.8,False,True,{cardio},2025-10-05T19:08:24
03061719-b102-431f-b7b4-f56502ef19de,"Bicycling, stationary, 90-100watts, moderatetovigorous",6.0,False,True,{cardio},2025-10-05T19:08:24
