name,kcal_per_100gr,fat_per_100gr,fiber_per_100gr,protein_per_100gr,carbs_per_100gr,user_id,notes,tags,is_verified,image_url
"Abalone, Mixed Species",99.28,0.76,0,17.1,6.01,,,,TRUE,
"Abalone, Mxd Sp",183.74,6.78,0,19.63,11.05,,,,TRUE,
Abiyuch,77.3,0.1,5.3,1.5,17.6,,,,TRUE,
Acerola,35.06,0.3,1.1,0.4,7.69,,,,TRUE,
Acerola Juice,23.5,0.3,0.3,0.4,4.8,,,,TRUE,
"Acorn Flour, Full Fat",520.09,30.17,0,7.49,54.65,,,,TRUE,
Acorns,402.34,23.86,0,6.15,40.75,,,,TRUE,
"Acorns, Dried",529.73,31.41,0,8.1,53.66,,,,TRUE,
Adobo Fresco,270.5,20.9,1.3,2,18.6,,,,TRUE,
Agave,68.35,0.15,6.6,0.52,16.23,,,,TRUE,
"Agave, Ckd",134.57,0.29,10.6,0.99,32,,,,TRUE,
"Agave, Dried",340.97,0.69,15.6,1.71,81.98,,,,TRUE,
"Agutuk, Fish W/ Shortening",469.5,43.5,0,9,10.5,,,,TRUE,
"Agutuk, Fish/Berry W/ Seal Oil",353.4,31.8,0.5,3.4,13.4,,,,TRUE,
"Agutuk, Meat-Caribou",257.8,18.6,0,21.7,0.9,,,,TRUE,
"Alcoholic Bev, Beer",16.04,0,0,0.46,3.55,,,,TRUE,
"Alcoholic Bev, Creme De Menthe",169.1,0.3,0,0,41.6,,,,TRUE,
"Alcoholic Bev, Daiquiri",62.8,0,0,0,15.7,,,,TRUE,
"Alcoholic Bev, Distilled",0,0,0,0,0,,,,TRUE,
"Alcoholic Bev, Liqueur",190.3,0.3,0,0.1,46.8,,,,TRUE,
"Alcoholic Bev, Pina Colada",181.2,7.6,0.1,0.6,27.6,,,,TRUE,
"Alcoholic Bev, Rice",22,0,0,0.5,5,,,,TRUE,
"Alcoholic Bev, Tequila Sunrise",47.3,0.1,0,0.3,11.3,,,,TRUE,
"Alcoholic Bev, Whiskey Sour",53.6,0,0.1,0,13.4,,,,TRUE,
"Alcoholic Bev, Wine",55.56,0,0,0.2,13.69,,,,TRUE,
"Alfalfa Seeds, Sprouted",30.57,0.69,1.9,3.99,2.1,,,,TRUE,
"Allspice, Ground",391.05,8.69,21.6,6.09,72.12,,,,TRUE,
"Almond Butter, Pln",677.1,59.1,3.7,15.08,21.22,,,,TRUE,
Almond Paste,476.9,27.74,4.8,9,47.81,,,,TRUE,
Almonds,616.34,49.42,12.2,21.22,21.67,,,,TRUE,
"Almonds, Dry Rstd",640.99,52.83,11.8,22.09,19.29,,,,TRUE,
"Almonds, Honey Rstd",633.38,49.9,13.7,18.17,27.9,,,,TRUE,
"Almonds, Oil Rstd",652.17,55.17,10.5,21.23,17.68,,,,TRUE,
Amaranth Flakes,409.76,7,9.5,15.54,71.15,,,,TRUE,
"Amaranth Grain, Ckd",104.18,1.58,2.1,3.8,18.69,,,,TRUE,
Amaranth Leaves,28.89,0.33,0,2.46,4.02,,,,TRUE,
"Amaranth Leaves, Ckd",26.5,0.18,0,2.11,4.11,,,,TRUE,
"Amaranth, Unckd",378.42,7.02,6.7,13.56,65.25,,,,TRUE,
"Anchovy, European",124.96,4.84,0,20.35,0,,,,TRUE,
"Animal Fat, Bacon Grease",895.5,99.5,0,0,0,,,,TRUE,
Anise Seed,413.58,15.9,14.6,17.6,50.02,,,,TRUE,
"Apple Cider-Flavored Drk, Pdr",395.2,0,0.1,0,98.8,,,,TRUE,
"Apple Juc, Cnd Or Btld",46.77,0.13,0.2,0.1,11.3,,,,TRUE,
"Apple Juc, Frz Conc",169.37,0.37,0.4,0.51,41,,,,TRUE,
"Apples, Cnd",71.93,0.49,1.7,0.18,16.7,,,,TRUE,
"Apples, Dehyd",384.62,0.58,12.4,1.32,93.53,,,,TRUE,
"Apples, Dried",270.16,0.32,8.7,0.93,65.89,,,,TRUE,
"Apples, Frz",53.24,0.32,1.9,0.28,12.31,,,,TRUE,
"Apples, With Skin",57.81,0.17,2.4,0.26,13.81,,,,TRUE,
"Apples, Without Skin",53.29,0.13,1.3,0.27,12.76,,,,TRUE,
"Apples, Wo/ Skn",62.54,0.42,2.8,0.28,14.41,,,,TRUE,
"Apples, Wo/Skn",58.84,0.36,2.4,0.26,13.64,,,,TRUE,
"Applesauce, Cnd",81.98,0.18,1.2,0.18,19.91,,,,TRUE,
"Apricot Nectar, Cnd",59.85,0.09,0.6,0.37,14.39,,,,TRUE,
Apricots,53.59,0.39,2,1.4,11.12,,,,TRUE,
"Apricots, Cnd",29.84,0.16,1.6,0.71,6.39,,,,TRUE,
"Apricots, Dehyd",356.74,0.62,0,4.9,82.89,,,,TRUE,
"Apricots, Dried",268.71,0.51,7.3,3.39,62.64,,,,TRUE,
"Apricots, Frozen",104.1,0.1,2.2,0.7,25.1,,,,TRUE,
Arrowhead,104.85,0.29,0,5.33,20.23,,,,TRUE,
"Arrowhead, Ckd",83.42,0.1,0,4.49,16.14,,,,TRUE,
Arrowroot,72.32,0.2,1.3,4.24,13.39,,,,TRUE,
Arrowroot Flour,354.7,0.1,3.4,0.3,88.15,,,,TRUE,
Artichokes,56.47,0.15,5.4,3.27,10.51,,,,TRUE,
"Artichokes, Ckd",62.42,0.34,8.6,2.89,11.95,,,,TRUE,
"Artichokes, Frz",45.43,0.43,3.9,2.63,7.76,,,,TRUE,
"Artificial Blueberry Muffin Mix, Dry",406.9,8.7,0,4.7,77.45,,,,TRUE,
Arugula,30.86,0.66,1.6,2.58,3.65,,,,TRUE,
Asparagus,25.4,0.12,2.1,2.2,3.88,,,,TRUE,
"Asparagus, Ckd",28.02,0.22,2,2.4,4.11,,,,TRUE,
"Asparagus, Cnd",18.7,0.18,1,1.8,2.47,,,,TRUE,
