name,kcal_per_100gr,fat_per_100gr,fiber_per_100gr,protein_per_100gr,carbs_per_100gr,user_id,rating,notes,tags,is_verified,image_url
Acorn Stew,95.35,3.47,0.7,6.81,9.22,,,,,TRUE,
"Archway Home Style Cookies, Apple Filled Oatmeal",392.74,11.78,1.7,4.47,67.21,,,,,TRUE,
"Archway Home Style Cookies, Apricot Filled",400.05,13.17,2.2,4.52,65.86,,,,,TRUE,
"Archway Home Style Cookies, Cherry Filled",404.56,14.12,2,4.62,64.75,,,,,TRUE,
"Archway Home Style Cookies, Chocolate Chip Drop",406.89,15.33,1.6,3.95,63.28,,,,,TRUE,
"Archway Home Style Cookies, Chocolate Chip Ice Box",496.8,24.4,2,4.28,65.02,,,,,TRUE,
"Archway Home Style Cookies, Coconut Macaroon",459.95,22.55,5.1,3.02,61.23,,,,,TRUE,
"Archway Home Style Cookies, Cookies Jar Hermits",390.37,9.77,1.8,5.28,70.33,,,,,TRUE,
"Archway Home Style Cookies, Dark Molasses",407.47,12.59,1.1,4.16,69.38,,,,,TRUE,
"Archway Home Style Cookies, Date Filled Oatmeal",399.77,12.05,2.1,4.67,68.16,,,,,TRUE,
"Archway Home Style Cookies, Dutch Cocoa",430.67,14.99,2.6,4.5,69.44,,,,,TRUE,
"Archway Home Style Cookies, Fat Free Oatmeal Raisin",348.31,1.51,2.1,4.12,79.56,,,,,TRUE,
"Archway Home Style Cookies, Fruit & Honey Bar",408.3,12.54,1.9,4.44,69.42,,,,,TRUE,
"Archway Home Style Cookies, Gourmet Apple'N Raisin",435.48,16.64,2.5,5.1,66.33,,,,,TRUE,
"Archway Home Style Cookies, Gourmet Oatmeal Pecan",471.77,23.13,3.1,5.42,60.48,,,,,TRUE,
"Archway Home Style Cookies, Gourmet Rocky Road",460.59,19.71,2.6,4.86,65.94,,,,,TRUE,
"Archway Home Style Cookies, Gourmet Ruth'S Golden Oatmeal",430.52,16.44,2.7,5.67,64.97,,,,,TRUE,
"Archway Home Style Cookies, Iced Molasses",420.35,14.43,1,3.5,69.12,,,,,TRUE,
"Archway Home Style Cookies, Iced Oatmeal",435.37,16.53,2,4.89,66.76,,,,,TRUE,
"Archway Home Style Cookies, Molasses",403.18,12.06,1.2,4.25,69.41,,,,,TRUE,
"Archway Home Style Cookies, Oatmeal",421.32,14.08,2.9,5.48,68.17,,,,,TRUE,
